nom;type;adresse;description;image;heureOuverture;heureFermeture;capacite;exterieur;rooftop;etage;email;etoiles;numeroTelephone;latitude;longitude
Sun Valley;Bar;10 Cr Jean Jaurès, 38000 Grenoble;Diffusions sportives sur 3 écrans géants, DJ, 7 billards et 1 babyfoot dans ce bar aux pierres apparentes.;sunValley;17;2;50;true;false;0;;4;+33 4 76 46 42 13;45.1912261;5.7198006
Le Commun des Mortels ;Bar;20 Rue Aimé Berey, 38000 Grenoble;Un bar, une cuisine et un atelier de brassage au cœur de Grenoble ;communMortel;17;1;100;true;false;0;;5;+33 6 50 22 19 92;45.1889297;5.7093133
K Fée des Jeux;bar;1 Quai Stéphane Jay, 38000 Grenoble;Un bar à jeux de société avec une grande variété de jeux et de boissons.;kfeeJeux;14;1;50;true;false;0;kfeejeux@gmail.com;5;+33 4 76 12 34 78;45.1939409;5.7294621
Au Détour;bar;7 Place Championnet, 38000 Grenoble;Un bar de quartier avec une atmosphère détendue et des boissons abordables.;auDetour;17;1;70;true;false;0;audetour@gmail.com;4;+33 4 76 87 65 44;45.1851365;5.7223963
Au Rencard;bar;4 Rue Auguste Gaché, 38000 Grenoble;Un bar à tapas avec une ambiance conviviale et une bonne sélection de vins.;auRencrad;18;1;80;false;false;0;aurencard@gmail.com;4;+33 4 76 43 21 65;45.1910078;5.7309948
Bar Phenomen;bar;4 Rue Vauban, 38000 Grenoble;Un bar moderne avec une grande variété de cocktails et une ambiance animée.;phenomen;17;2;90;false;false;0;barphenomen@gmail.com;4;+33 4 76 45 23 12;45.1884771;5.723506
Barberousse Grenoble;bar;3 Rue Bayard, 38000 Grenoble;Un bar spécialisé dans le rhum, connu pour son ambiance festive et ses shooters variés.;barberousse;18;2;100;false;false;0;info@barberousse-grenoble.com;4;+33 4 76 51 14 53;45.1920963;5.7317326
Blind Pig;bar;2 Rue Bayard, 38000 Grenoble;Bar à cocktails avec une décoration vintage et une influence de l'ère de la prohibition américaine.;blindPig;17;1;80;true;false;0;contact@blindpig-grenoble.com;4;+33 4 76 01 24 57;45.1848964;5.7214554
Le Tonneau de Diogène;bar;6 Place Notre Dame, 38000 Grenoble;Un bar convivial avec une large sélection de bières artisanales.;tonneauDiogene;16;1;50;true;false;0;tonneaudediogene@gmail.com;4;+33 4 76 50 14 59;45.1929762;5.73143
O'Callaghan;bar;2 Place de Berulle, 38000 Grenoble;Un pub irlandais authentique avec une atmosphère chaleureuse.;callaghan;17;2;120;true;false;0;ocallaghan@gmail.com;4;+33 4 76 23 56 78;45.1937057;5.7294478
